coin 1;coin 2;number of matches
D:\code\python\numisma\numisma\data\dataTest2\18544-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\17678-R.jpg;215
D:\code\python\numisma\numisma\data\dataTest2\38175-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\18544-R.jpg;213
D:\code\python\numisma\numisma\data\dataTest2\38175-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\17678-R.jpg;206
D:\code\python\numisma\numisma\data\dataTest2\38230-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\34846-R.jpg;184
D:\code\python\numisma\numisma\data\dataTest2\36892-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\18134-R.jpg;143
D:\code\python\numisma\numisma\data\dataTest2\18810-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\18544-R.jpg;50
D:\code\python\numisma\numisma\data\dataTest2\5320-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\18134-R.jpg;40
D:\code\python\numisma\numisma\data\dataTest2\18810-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\17678-R.jpg;39
D:\code\python\numisma\numisma\data\dataTest2\5320-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\17721-R.jpg;38
D:\code\python\numisma\numisma\data\dataTest2\5320-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\18810-R.jpg;38
D:\code\python\numisma\numisma\data\dataTest2\5320-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\18544-R.jpg;35
D:\code\python\numisma\numisma\data\dataTest2\38175-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\14626-R.jpg;34
D:\code\python\numisma\numisma\data\dataTest2\38230-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\38175-R.jpg;34
D:\code\python\numisma\numisma\data\dataTest2\17678-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\12375-R.jpg;33
D:\code\python\numisma\numisma\data\dataTest2\17721-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\14626-R.jpg;33
D:\code\python\numisma\numisma\data\dataTest2\36892-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\34846-R.jpg;33
D:\code\python\numisma\numisma\data\dataTest2\18544-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\14626-R.jpg;31
D:\code\python\numisma\numisma\data\dataTest2\38230-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\17721-R.jpg;31
D:\code\python\numisma\numisma\data\dataTest2\17678-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\14626-R.jpg;30
D:\code\python\numisma\numisma\data\dataTest2\18134-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\17721-R.jpg;30
D:\code\python\numisma\numisma\data\dataTest2\36892-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\17721-R.jpg;28
D:\code\python\numisma\numisma\data\dataTest2\36892-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\18544-R.jpg;28
D:\code\python\numisma\numisma\data\dataTest2\38175-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\12375-R.jpg;27
D:\code\python\numisma\numisma\data\dataTest2\14626-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\11294-R.jpg;26
D:\code\python\numisma\numisma\data\dataTest2\14982-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\11294-R.jpg;26
D:\code\python\numisma\numisma\data\dataTest2\14982-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\12375-R.jpg;26
D:\code\python\numisma\numisma\data\dataTest2\18134-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\17678-R.jpg;26
D:\code\python\numisma\numisma\data\dataTest2\18134-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\14982-R.jpg;25
D:\code\python\numisma\numisma\data\dataTest2\36892-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\18810-R.jpg;24
D:\code\python\numisma\numisma\data\dataTest2\14982-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\14626-R.jpg;23
D:\code\python\numisma\numisma\data\dataTest2\18134-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\14626-R.jpg;23
D:\code\python\numisma\numisma\data\dataTest2\38230-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\12375-R.jpg;23
D:\code\python\numisma\numisma\data\dataTest2\38230-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\36892-R.jpg;23
D:\code\python\numisma\numisma\data\dataTest2\12375-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\11294-R.jpg;22
D:\code\python\numisma\numisma\data\dataTest2\18544-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\11294-R.jpg;22
D:\code\python\numisma\numisma\data\dataTest2\37876-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\17721-R.jpg;22
D:\code\python\numisma\numisma\data\dataTest2\18134-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\11294-R.jpg;20
D:\code\python\numisma\numisma\data\dataTest2\18544-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\12375-R.jpg;20
D:\code\python\numisma\numisma\data\dataTest2\38230-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\17678-R.jpg;20
D:\code\python\numisma\numisma\data\dataTest2\34846-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\14982-R.jpg;19
D:\code\python\numisma\numisma\data\dataTest2\11846-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\11187-R.jpg;18
D:\code\python\numisma\numisma\data\dataTest2\37876-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\17678-R.jpg;16
D:\code\python\numisma\numisma\data\dataTest2\34846-R.jpg;D:\code\python\numisma\numisma\data\dataTest2\12375-R.jpg;15
